lga_name,lga_code,mean,q50,q025,q975
Miga,18014,154054.0372,153375,129509.675,182217.025
Oluyole,31025,510864.8727,503696,380951.85,680417
Karu,26004,1259007.319,1258886,1021558.825,1497880.625
Wurno,622,298237.073,297296,250084.825,352683.25
Ori Ire,31028,174603.8526,172115.5,132791.2,230009.075
Jalingo,35007,570228.8503,568409.5,465622.475,679035.575
Kaga,114,127349.5138,127386,106110,148761.6
Dunukofia,4008,168398.8752,164988,137393.975,221730.35
Buruku,7004,467724.4398,461797.5,342389.4,625239.275
Kajola,31019,121866.7819,120431,92435.575,159226
Oyi,4021,275588.9373,270187,227206.9,358157.625
Esan North-East,12003,163316.4248,161533,122673.875,213113.25
Tarka,7020,246548.3523,244279,186059.4,318969.375
Zaria,19023,772390.1543,765253.5,602307.5,983129.425
Kaltungo,16007,200028.4929,200177,167786.525,232354.075
Ezza South,11006,223305.547,221386.5,177849.125,281515.2
Agatu,7002,124820.9721,124842.5,105086.625,144760.1
Idemili North,4010,449101.5437,439909,369216.775,586053.175
Andoni,33005,55664.0539,55451,47647.95,65019.175
Biriniwa,18021,194579.1487,193662.5,163441.975,231134.325
Moba,13015,75389.161,74921,62025.65,91627.65
Karim Lamido,35008,432026.8363,431772,354479.9,511866.25
Ilorin West,24008,782965.3219,782146.5,607776.35,971815.5
Essien Udim,3005,201275.168,198248.5,140359.8,285900
Ife South,30014,153875.9119,153334,126609.325,184229.15
Oron,3025,75061.9551,74626.5,62681.975,89881.625
Tarauni,20001,338955.432,334909,249142.925,453003.45
Esan Central,12004,81883.0516,80575,58881.875,110246.1
Borgu,27004,638741.562,631545.5,491174.5,827300.375
Iguegben,12010,44578.1665,44272,36166.725,54925.275
Dutse,18012,455703.5522,453770.5,381176.1,540581.775
Ohaji/Egbema,17018,232585.4852,227955.5,192903.5,298139.45
Bakori,401,352979.7491,351432,292956.975,421631.4
Etim Ekpo,3006,103617.2608,101924.5,72723.775,144201
Rano,20014,283340.6725,281898.5,238984.725,334568.5
Bakassi,9004,19049.4666,18957.5,15901.925,22661.175
Orumba South,4020,177124.5337,173830.5,146324.675,227611.225
Danja,408,277988.6887,277028.5,237684.725,323641.825
Gabasawa,20016,354134.7536,349174,237786,502950.175
Gwale,20012,717709.2079,708014,528199.475,953132.375
Jega,511,294483.5387,288455.5,204896.15,417559.875
Bogoro,5003,141951.5639,139818.5,104408.375,191593.7
Ethiope East,10005,153016.5149,152455.5,130269.6,180092.075
Ife East,30012,333493.4029,331334.5,265674.6,415483.75
Ijebu North,28009,180508.5243,179454.5,146723.925,220538.875
Katsina-Ala,7009,852163.8188,842405.5,628205.7,1126059.275
Ede South,30008,85435.2743,84928,70827.825,103308.025
Uruan,3029,100248.4639,98291,74966.925,135596
Geidam,706,321994.3435,321123,263198.425,388724.5
Dambam,5004,207919.0839,206552.5,166322.925,256969.925
Apapa,25005,130246.6746,128365,94009.475,178108.425
Ado Odo/Ota,28003,1815525.57,1804006,1514281.625,2183996.775
Ose,29017,119904.4691,119581,103467.325,138570
Edati,27007,107336.7868,106954,89131.225,127433.025
Isiala Mbano,17009,223926.2398,220823,181339.4,283431.725
Ikwerre,33013,356490.8056,355053.5,304343.1,416962.475
Kalgo,512,125684.3763,125292.5,103438.95,151277.65
Ogori/Magongo,23015,13419.8805,13373,10604,16561.175
Ibi,35006,203818.4733,204037,169196.975,237220
Iwo,30023,251398.178,249657,211839.45,301184.525
Kala Balge,115,74205.2875,74179,61168.9,87850.15
Igabi,19004,1225987.121,1218380.5,973195.825,1523301.35
Gwagwalada,15003,578613.9609,572428.5,456864.55,735850.4
Alimosho,25003,1999908.277,1966877.5,1474513.6,2720668.75
Esan West,12006,197133.8599,194637,143632.925,264790.525
Lagos Mainland,25019,245092.4286,239351.5,169000.25,352650.725
Udi,14016,429589.0444,424004,355704.7,536557
Ibadan North West,31008,140270.5998,139347,109582.65,177830.6
Monguno,123,206596.7483,206559.5,169173.7,244503.85
Jada,2008,373531.9107,368972,265222.425,509324.075
Konshisha,7010,683576.9803,675408,493810.45,917730.45
Mafa,119,107367.9938,107650.5,88275.25,124986.15
Orumba North,4019,208291.6375,204916,173166.35,264177.775
Kazaure,18010,153137.8065,152328.5,125715.925,184437.75
Irewole,30021,129419.3886,128438,105412.225,158091.075
Oju,7017,229921.6351,229019,194319.825,269120.025
Igbo-Etiti,14007,174415.7928,171963.5,148764.375,215214.35
Ngala,125,168130.47,168175,139010.95,197881.25
Shomolu,25017,169397.0516,167461.5,133906.15,215081
Etsako East,12008,141698.7296,139804.5,103284.575,192668.325
Kiyawa,18025,323016.6781,321314,270227.45,383616.175
Ishielu,11008,246883.2516,244908.5,190277.7,314352.525
Ajingi,20004,276932.5058,273848.5,217819.65,352419.775
Gurara,27009,153135.5798,152944,128605.65,179837.575
Birnin Kebbi,506,505030.5942,497949,365337.475,685277.875
Nafada,16009,150334.7618,149813,121970.375,181853.675
Warri South-West,10025,23686.9671,23593,20333.975,27642.025
Ijebu North East,28010,42029.6786,41727,33800.725,51895.125
Rabah,612,214849.5858,213981.5,182380.3,253185.075
Gwer East,7007,500866.4397,496551.5,373568.925,652633.825
Mbo,3017,55341.2715,54469.5,41560.55,74769.775
Bunkure,20028,318447.8395,312403.5,226895.375,444394.85
Kosofe,25013,513889.5074,506856,381123.7,686729.55
Orolu,30029,71515.2861,71042,57626.725,88464.85
Igalamela-Odolu,23008,178729.9811,178558.5,143499.325,215608
Roni,18015,116820.1475,116216.5,97446.975,138838.8
Etsako West,12009,256682.9918,254108,195868.075,331931.075
Akpabuyo,9003,71875.3809,71293,59380.825,87573.375
Biu,105,371172.5757,371037,312770.45,430851.625
Surulere,31033,135404.7561,133548,103386.825,177736.3
Surulere,25018,230961.8192,227666.5,172773.95,310788.275
Tsanyawa,20008,267923.7945,264395.5,204738.1,352921.975
Birnin Gwari,19001,474985.2103,468145,342011.525,653385.225
Calabar Municipal,9008,198474.8455,197519,163966.675,239005
Chanchaga,27006,525190.7913,523633.5,410095.425,652377.925
Ikwo,11007,223366.3224,220808.5,165569.775,296074.4
Gudu,606,122739.3604,122120,103218.775,145198.65
Ungogo,20018,1071442.39,1064023,826476.25,1362615.125
Abua/Odual,33001,48714.6137,48510,41360.525,57425.375
Imeko Afon,28013,137387.3895,136917.5,116003.9,162017.525
Etinan,3007,94992.0905,93148,69657.925,129885.125
Kiri Kasama,18007,159838.6974,158953.5,133214.875,190815.675
Babura,18004,292349.6481,290507,239389.625,354800.6
Ogba/Egbema/Ndoni,33016,270595.1998,268910.5,229517.475,320337.025
Osogbo,30030,419493.9236,416607.5,344288.225,512108.45
